paper_id,assigned_agent
3754029868543148807,21
6317852705806309896,22
8317501400001215637,23
paper:874415918567867362,1
paper:524159261732825661,2
8615762236463595756,3
7246975992757940847,4
6965062130684720429,5
8575105773474933745,6
1817892138556598275,7
8679237001429107828,8
9134413841358268803,9
5807790514024252067,10
5177676237332111676,11
8662710671087675907,12
2096410802607545062,13
paper:5915492604484547397,14
2331445376423083715,15
8289749313926202526,16
3444443548778834306,17
5227204761196325432,18
3996273862723610597,19
paper:6436735899685906844,20
3503479315662143829,21
6425993496031475105,22
3514389708970807431,23
3777018952344177141,1
4674434870743797902,2
4679223243883710682,3
8312796911645753503,4
7656074009449177557,5
7268720356905580176,6
paper:3440683724945289527,7
paper:5811127328061065808,8
paper:1816269465177196816,9
6275153092680854812,10
2634927809235544032,11
793969311121114695,12
5217643239832290608,13
1299676452306781208,14
8075945866475497529,15
6797971406713059383,16
4784381720716007303,17
5830356925107734507,18
3641059208281951642,19
8311402514032271300,20
2382637345118038436,21
203805559968563950,22
5061606298511085759,23
936854425268785734,1
2585869578307353095,2
7693866388030252506,3
4674620177655589222,4
4220452015204281758,5
7943697311280558315,6
6723164879230120458,7
6078945623267100079,8
8569732819535490512,9
6083565504992840121,10
2747862654286934742,11
1110293417295773191,12
7396769879563976758,13
7980041228355039000,14
7051202469476431001,15
4571804848027351162,16
3442545716351065472,17
7242869157727785391,18
1192808445387884683,19
45348270242775044,20
1176133269459721137,21
paper:6091467233396296217,22
99986376223958472,23
6837192198047712100,1
8396331056550408364,2
564902359379766036,3
paper:2938985251634738342,4
8895309186572748132,5
paper:5522724752364068744,6
5937389788364227779,7
3466560661032093238,8
4093597848784466370,9
172679972049406321,10
8600157523503653022,11
2297310650483153241,12
4416191526187061572,13
5141848083670594848,14
2668825070745281842,15
7700782316976487985,16
5821792991109075354,17
6118794094467487120,18
3186562648206839816,19
3488601914299621144,20
1205672755311335077,21
878420532725806173,22
7577510759104846305,23
4357661716218283932,1
6210961159827643693,2
5274517079018214007,3
8852749207956125600,4
3876700955211388645,5
8834689156574630674,6
5489173707066020075,7
268417157038989710,8
8965492967417941169,9
paper:6489845998008852691,10
2748529845950540173,11
7092146864060192240,12
4152575440356959648,13
1513578170617230124,14
6565287643639005532,15
paper:1376354825486305755,16
6276054578985458211,17
232519151072143782,18
5006607396447279585,19
8526441971270990701,20
8527423835154793899,21
4094141274326574307,22
paper:4937617365185896349,23
377306367123481615,1
4812405321161127329,2
7952387356626653331,3
91019993632972099,4
7821267339966800197,5
2228674012315722523,6
2483295794883128598,7
6586255554588626848,8
9087744138860461314,9
8781694099207993783,10
8148875679315622563,11
2230560277352754166,12
4837107867345514167,13
1708557481258577317,14
4270563412972427018,15
6961083835529188407,16
8740987514523516970,17
5531762933309402344,18
9104233621316623647,19
1128999622035738234,20
3105134021843818568,21
4411844218003874449,22
6216357204185184319,23
8144062941909719832,1
1248992574588439202,2
601835423555406706,3
6081934533047666232,4
4618870037491131402,5
563613727207016903,6
8696560765610843315,7
8699541541634355661,8
paper:2393891795597193176,9
8441656484005782221,10
2650464892201514573,11
8510782636832143081,12
9111806958083590388,13
7804101703900192777,14
7361997795189334446,15
3535929289043163037,16
6401634938424533291,17
7515828305967896364,18
8175711259934544034,19
7951317326494654779,20
4988722855680083440,21
4575203204353436306,22
1714079230872807634,23
paper:377979050967255143,1
2195870894637987311,2
2783487217340589655,3
6634841584132611042,4
paper:8452879662849895273,5
5696450268229998125,6
1285586786218646123,7
1936540550903134302,8
2861965507331637886,9
paper:4608955304534807959,10
7951734455113467659,11
3991226472929008973,12
4445410461297643621,13
2721773115702940467,14
5132708402897817870,15
6617474704887238992,16
4034591154307734088,17
7662550715697266893,18
8205237562466468679,19
7550459696339819542,20
2805115590992182907,21
6802497388817339780,22
8678975684725404177,23
853036758247221417,1
310153991478210003,2
5774175925702694687,3
6412596575216586142,4
6893404176074706199,5
8689071590001665744,6
6041479437865913858,7
6045298041749933761,8
